item,age,n,gpos,gneg,laterality_pmn,Type
Kozasa2012_adults.fsl_mni.txt,43.8,19,31.53,0,1,1
Krebs2015_adults.other_mni.txt,22.5,14,79.1,78.59,0.003234194,1
Laeng2011_olders.spm_mni.txt,53.8,10,32.99,72.68,-0.375603293,1
Li2015_adults.spm_mni.txt,23,24,59.7166,46.6734,0.122597989,-1
Liu2016_children.spm_mni.txt,13.9,72,49.03,54.37,-0.051644101,0
Lutcke2009_adults.fsl_mni.txt,28,12,39.2136,13.6709,0.48299029,1
Margolis2017_children.spm_mni.txt,16.1,55,40.19,18,0.381336999,-1
Mathis2009_olders.spm_tal.txt,57.25,24,77.6418,90.9605,-0.078994771,1
Matthews2004_adults.other_tal.txt,39,18,6.2,9.3,-0.2,1
McNab2008_adults.spm_mni.txt,24,14,9.07,12.32,-0.151940159,1
Mead2002_adults.spm_tal.txt,26.7,18,3.1,6.2,-0.333333333,1
Milham2002_adults.other_tal.txt,23,12,12.0005,19.4754,-0.237480104,1
Milham2002_olders.other_tal.txt,68,10,58.2248,54.0781,0.036924247,1
Mincic2010_children.spm_tal.txt,16.5,35,9.1145,8.5989,0.029107907,1
Mitchell2005_adults.spm_tal.txt,23.3,15,40.3352,71.1212,-0.276215632,1
Mitchell2010_adults.spm_mni.txt,20.2,28,21.855659,33.849047,-0.215302958,1
Nagamatsu2011_olders.spm_mni.txt,69.6,73,64.58,35,0.2970476,1
Nakao2005_adults.spm_tal.txt,30.2,14,424.0099,393.3962,0.037452253,1
Ochsner2009_adults.spm_mni.txt,21.22,16,32.1147,53.7017,-0.251548655,1
Onur2011_olders.spm_mni.txt,63.81,13,11.19,17.6,-0.222646752,0
Page2009_adults.other_tal.txt,34.1,11,9.8508,14.7936,-0.200564834,-1
Piai2013_adults.spm_mni.txt,21.2,23,52.04,0,1,0
Polosan2011_adults.spm_mni.txt,35.9,14,44.32,20.99,0.357219415,1
Pompei2011_adults.spm_mni.txt,36.33,48,14.8451,28.2539,-0.311116267,1
Posner2011_children.spm_tal.txt,13.4,15,11.4,8.3,0.157360406,1
Prakash2009_olders.fsl_mni.txt,65.5,25,3.0814,20.162,-0.734858067,1
Puente2014_olders.spm_mni.txt,74,26,0,43.4,-1,1
Puetz2016_children.spm_mni.txt,12.91,19,0,45.38,-1,1
Rahm2014_adults.fsl_mni.txt,34.9,11,15.7226,8.0771,0.321243545,1
Ravnkilde2002_adults.other_tal.txt,41,46,5.2208,14.3112,-0.465410608,1
Rizio2017_olders.fsl_mni.txt,67,20,19.0512,13.803,0.159742133,1
Roberts2008_adults.spm_mni.txt,24.3,16,21.7,43.4,-0.333333333,1
Robertson2015_adults.spm_mni.txt,23,16,72.36,69.82,0.017864679,1
Roelofs2006_adults.other_tal.txt,23,12,9.3,21.7,-0.4,0
Rubia2006_adults.other_tal.txt,15,28,15.5,12.4,0.111111111,-1
Rubia2006_children.other_tal.txt,28,23,6.2,9.3,-0.2,-1
Schulte2020_children.spm_mni.txt,16,178,32.22,28.53,0.060740741,1
Schulze2013_adults.other_tal.txt,24.8,8,34.5821,22.8739,0.203776803,1
Sebastian2012_adults.spm_mni.txt,14,58,27.1282,30.1228,-0.05230651,-1
Sebastian2013a_adults.spm_mni.txt,39.96,49,99.2661,94.1948,0.026213566,-1
Sebastian2013b_adults.spm_mni.txt,30.3,24,19.5487,16.8046,0.075484206,-1
Sebastian2021_children.spm_mni.txt,24.24,21,14.57,16.86,-0.072860325,1
Sheridan2014_children.spm_tal.txt,8.1,33,9.76,24.39,-0.4284041,-1
Sheu2012_adults.spm_mni.txt,40,26,187.84,232.01,-0.10520424,1
Soeda2005_adults.spm_tal.txt,28.1,11,149.901,78.9117,0.310250698,1
Sommer2008_adults.other_tal.txt,29.1,12,18.6,15.5,0.090909091,-1
Tamm2002_children.spm_tal.txt,15.43,14,6.5158,11.2859,-0.267957555,1
Terry2012_adults.spm_mni.txt,20.4,20,28.916682,34.826186,-0.092708474,1
Ullsperger2001_adults.other_tal.txt,24.9,12,174.3875,70.8613,0.422127244,1
vantEnt2009_children.spm_mni.txt,12,18,60.6451,54.698,0.051560085,1
Verstynen2014_adults.spm_mni.txt,31,30,69.42,40.74,0.260348584,1
Weiss2007_adults.spm_mni.txt,26.89,8,37.57,62.08,-0.245960863,1
Wittfoth2006_adults.spm_tal.txt,25.5,20,45.3594,67.6901,-0.197530285,-1
Wittfoth2008_adults.spm_tal.txt,25.2,20,39.2378,31.994,0.101693345,-1
Ye2009_adults.spm_mni.txt,21,19,48.180741,51.408999,-0.032415568,1
Zhu2010_adults.other_tal.txt,20,22,24.982,14.356,0.270120494,1
Zhu2010_olders.other_tal.txt,74,22,19.942,24.04,-0.09317448,1
Zoccatelli2010_adults.other_tal.txt,28,10,81.2,103.9,-0.122636413,1
Zurawska2011_adults.spm_tal.txt,25.3,18,4.587,24.5698,-0.685356418,1
Zysset2007_adults.other_tal.txt,42,47,67.0092,73.0366,-0.043038777,1
